product_id,product_title,part_number,product_name,category,variant,attribute 1 value,attribute 1 name
89,Koni STR.T Dampers – Front Left Side – Part No. 8650-1010,8650-1010,Koni STR.T Dampers,Damper,Front-Left-Side,57|156|158,vehicle_no
90,Koni Sport Dampers – Front Left Side – Part No. 86-2066SPORT,86-2066SPORT,Koni Sport Dampers,Damper,Front-Left-Side,57|156|158,vehicle_no
91,Koni Sport Dampers – Front Left Side – Part No. 8610-1262SPORT,8610-1262SPORT,Koni Sport Dampers,Damper,Front-Left-Side,57|156|158,vehicle_no
94,Koni STR.T Dampers – Front Left Side – Part No. 8650-1007,8650-1007,Koni STR.T Dampers,Damper,Front-Left-Side,62|65|67|186|187|203,vehicle_no
95,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1077,8050-1077,Koni STR.T Dampers,Damper,Rear-Left-Side,62|65|67|186|187|203,vehicle_no
96,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1497,VAG-ST1497,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),62|65|67|186|187|203,vehicle_no
97,Koni Sport Dampers – Front Left Side – Part No. 86-2149SPORT,86-2149SPORT,Koni Sport Dampers,Damper,Front-Left-Side,62|65|67|131|132|134|175|176|186|187|203,vehicle_no
98,Koni Sport Dampers – Rear Left Side – Part No. 80-2762SPORT,80-2762SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,62|65|67|131|134,vehicle_no
99,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1498,VAG-SP1498,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),62|65|67|131|134,vehicle_no
100,Koni Sport Dampers – Rear Left Side – Part No. 80-2630SPORT,80-2630SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,62|65|67|132|134|175|176|186|187|203,vehicle_no
101,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1497,VAG-SP1497,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),62|65|67|132|134|175|176|186|187|203,vehicle_no
117,Koni Active Dampers – Rear Left Side – Part No. 8245-1402,8245-1402,Koni Active Dampers,Damper,Rear-Left-Side,1413,vehicle_no
125,Koni Active Dampers – Front Left Side – Part No. 8745-1029,8745-1029,Koni Active Dampers,Damper,Front-Left-Side,74,vehicle_no
128,Koni STR.T Dampers – Front Left Side – Part No. 8750-1002,8750-1002,Koni STR.T Dampers,Damper,Front-Left-Side,74|1742|1744|1782,vehicle_no
131,Koni Sport Dampers – Front Left Side – Part No. 8710-1337SPORT,8710-1337SPORT,Koni Sport Dampers,Damper,Front-Left-Side,74|1742|1744|1782,vehicle_no
134,Koni Active Dampers – Rear Left Side – Part No. 8245-1032,8245-1032,Koni Active Dampers,Damper,Rear-Left-Side,74|75|171|1451|1742|1743|1745|1782|1783|1784|1786,vehicle_no
135,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1211,VAG-SA1211,Koni Active Dampers,Damper,Full Set ( 4 dampers ),74,vehicle_no
136,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1086,8050-1086,Koni STR.T Dampers,Damper,Rear-Left-Side,74|75|171|195|197|1451|1742|1743|1745|1782|1783|1784|1786,vehicle_no
137,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1211,VAG-ST1211,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),74|1742|1782,vehicle_no
138,Koni Sport Dampers – Rear Left Side – Part No. 80-2806SPORT,80-2806SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,74|75|171|1451|1742|1743|1745|1782|1783|1784|1786,vehicle_no
139,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1211,VAG-SP1211,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),74|1742|1782,vehicle_no
140,Koni Active Dampers – Front Left Side – Part No. 8745-1030,8745-1030,Koni Active Dampers,Damper,Front-Left-Side,75|171|1451|1742|1743|1745|1782|1783|1784|1786,vehicle_no
141,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1213,VAG-SA1213,Koni Active Dampers,Damper,Full Set ( 4 dampers ),75|171|1451|1742|1743|1745|1782|1783|1784|1786,vehicle_no
142,Koni STR.T Dampers – Front Left Side – Part No. 8750-1063,8750-1063,Koni STR.T Dampers,Damper,Front-Left-Side,75|1451|1743|1745|1783|1784|1786,vehicle_no
143,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1213,VAG-ST1213,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),75|1451|1743|1745|1783|1784|1786,vehicle_no
144,Koni Sport Dampers – Front Left Side – Part No. 8710-1385SPORT,8710-1385SPORT,Koni Sport Dampers,Damper,Front-Left-Side,75|1451|1743|1745|1783|1784|1786,vehicle_no
145,Koni Sport Dampers – Full Set of 4 Dampers – Part No. VAG-SP1213,VAG-SP1213,Koni Sport Dampers,Damper,Full Set ( 4 dampers ),75|1451|1743|1745|1783|1784|1786,vehicle_no
146,Koni Active Dampers – Front Left Side – Part No. 8745-1225,8745-1225,Koni Active Dampers,Damper,Front-Left-Side,79|82,vehicle_no
147,Koni Active Dampers – Rear Left Side – Part No. 8045-1226,8045-1226,Koni Active Dampers,Damper,Rear-Left-Side,79|82,vehicle_no
148,Koni Active Dampers – Full Set of 4 Dampers – Part No. VAG-SA1227,VAG-SA1227,Koni Active Dampers,Damper,Full Set ( 4 dampers ),79|82,vehicle_no
149,Koni Sport Dampers – Front Left Side – Part No. 8710-1431SPORT,8710-1431SPORT,Koni Sport Dampers,Damper,Front-Left-Side,79|82|1517|1789,vehicle_no
150,Koni Sport Dampers – Rear Left Side – Part No. 8040-1371SPORT,8040-1371SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,172|173|191|193,vehicle_no
153,Koni Active Dampers – Rear Left Side – Part No. 8045-1084,8045-1084,Koni Active Dampers,Damper,Rear-Left-Side,1789,vehicle_no
158,Koni STR.T Dampers – Rear Left Side – Part No. 8050-1006,8050-1006,Koni STR.T Dampers,Damper,Rear-Left-Side,1789,vehicle_no
160,Koni STR.T Dampers – Front Left Side – Part No. 8750-1005,8750-1005,Koni STR.T Dampers,Damper,Front-Left-Side,1789,vehicle_no
161,Koni STR.T Dampers – Full Set of 4 Dampers – Part No. VAG-ST1203,VAG-ST1203,Koni STR.T Dampers,Damper,Full Set ( 4 dampers ),1789,vehicle_no
162,Koni Sport Dampers – Front Left Side – Part No. 8710-1432SPORT,8710-1432SPORT,Koni Sport Dampers,Damper,Front-Left-Side,1517,vehicle_no
163,Koni Sport Dampers – Rear Left Side – Part No. 80-2859SPORT,80-2859SPORT,Koni Sport Dampers,Damper,Rear-Left-Side,79|82|1789,vehicle_no
